Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0603_1608Metric",126.000000,-110.600000,0.000000,top
"C2","1u","C_0603_1608Metric",126.000000,-114.400000,0.000000,top
"C3","1u","C_0603_1608Metric",109.000000,-103.000000,0.000000,top
"C4","10u/16V","CP_EIA-3216-18_Kemet-A",111.000000,-111.000000,0.000000,top
"C5","10u/16V","CP_EIA-3216-18_Kemet-A",125.200000,-108.000000,180.000000,top
"C6","10u/16V","CP_EIA-3216-18_Kemet-A",120.000000,-111.000000,0.000000,top
"C7","100n","C_0603_1608Metric",158.000000,-120.300000,0.000000,top
"C8","100n","C_0603_1608Metric",121.700000,-121.800000,0.000000,top
"C9","100n","C_0603_1608Metric",104.000000,-132.800000,0.000000,top
"C10","100n","C_0603_1608Metric",111.400000,-132.800000,0.000000,top
"C11","100n","C_0603_1608Metric",118.800000,-132.800000,0.000000,top
"C12","100n","C_0603_1608Metric",126.200000,-132.800000,0.000000,top
"C13","100n","C_0603_1608Metric",133.600000,-132.800000,0.000000,top
"C14","100n","C_0603_1608Metric",141.000000,-132.800000,0.000000,top
"C15","100n","C_0603_1608Metric",148.400000,-132.800000,0.000000,top
"C16","100n","C_0603_1608Metric",155.800000,-132.800000,0.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",104.000000,-136.500000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",111.400000,-136.500000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",118.800000,-136.500000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",126.200000,-136.500000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",133.600000,-136.500000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",141.000000,-136.500000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",148.400000,-136.500000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",155.800000,-136.500000,0.000000,top
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",157.000000,-112.000000,90.000000,top
"J2","QWIIC","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",156.600000,-126.000000,90.000000,top
"Q1","S8050","SOT-23",122.750000,-117.600000,0.000000,top
"R1","5.1k","R_0603_1608Metric",150.000000,-118.600000,0.000000,top
"R2","5.1k","R_0603_1608Metric",150.000000,-116.800000,0.000000,top
"R3","5.1k","R_0603_1608Metric",126.000000,-112.500000,0.000000,top
"R4","5.1k","R_0603_1608Metric",130.000000,-121.300000,0.000000,top
"R5","5.1k","R_0603_1608Metric",134.000000,-121.300000,0.000000,top
"R6","5.1k","R_0603_1608Metric",138.000000,-121.300000,0.000000,top
"R7","5.1k","R_0603_1608Metric",150.000000,-122.000000,0.000000,top
"R8","5.1k","R_0603_1608Metric",150.000000,-124.000000,0.000000,top
"R9","5.1k","R_0603_1608Metric",121.700000,-128.000000,0.000000,top
"R10","330","R_0603_1608Metric",121.700000,-130.500000,0.000000,top
"R11","1k","R_0603_1608Metric",126.250000,-117.500000,0.000000,top
"R12","5.1k","R_0603_1608Metric",126.250000,-120.000000,0.000000,top
"R13","1k","R_0603_1608Metric",126.500000,-122.300000,0.000000,top
"R14","22","R_0603_1608Metric",149.400000,-113.200000,180.000000,top
"R15","22","R_0603_1608Metric",149.400000,-114.900000,180.000000,top
"SW1","USER1","SW_SPST_TS-1088-xR020",134.000000,-124.000000,0.000000,top
"SW2","USER2","SW_SPST_TS-1088-xR020",143.000000,-124.000000,0.000000,top
"SW3","RESET","SW_SPST_TS-1088-xR020",104.000000,-102.500000,0.000000,top
"SW4","BOOT","SW_SPST_TS-1088-xR020",104.000000,-111.000000,0.000000,top
"U1","ESP32-C3-WROOM-02-N4","ESP32-C3-WROOM-02",137.500000,-113.200000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",116.000000,-106.000000,0.000000,top
"U3","74AHCT1G125","SOT-23-5",121.700000,-124.500000,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",149.500000,-109.800000,90.000000,top
